iter	Passed	Remaining
653	528	2703
654	528	2701
655	529	2699
656	530	2697
657	531	2697
658	531	2695
659	532	2693
660	532	2692
661	533	2690
662	534	2689
663	535	2687
664	535	2685
665	536	2684
666	536	2682
667	537	2680
668	537	2678
669	538	2676
670	539	2674
671	539	2673
672	540	2671
673	541	2670
674	541	2668
675	542	2667
676	543	2665
677	543	2664
678	544	2662
679	545	2661
680	545	2659
681	546	2658
682	547	2657
683	547	2655
684	548	2653
685	548	2651
686	549	2650
687	550	2649
688	551	2648
689	551	2647
690	552	2645
691	553	2643
692	553	2642
693	554	2640
694	554	2639
695	555	2638
696	556	2636
697	556	2634
698	557	2632
699	558	2631
700	558	2629
701	559	2628
702	560	2626
703	560	2624
704	561	2622
705	561	2621
706	562	2620
707	563	2618
708	563	2617
709	564	2616
710	565	2614
711	565	2612
712	566	2611
713	567	2610
714	567	2608
715	568	2607
716	569	2605
717	569	2604
718	570	2603
719	571	2601
720	572	2602
721	572	2600
722	573	2599
723	574	2597
724	574	2596
725	575	2594
726	576	2593
727	576	2592
728	577	2590
729	577	2588
730	578	2587
731	579	2585
732	579	2584
733	580	2582
734	581	2581
735	581	2580
736	582	2578
737	583	2577
738	583	2575
739	584	2574
740	585	2573
741	585	2572
742	586	2571
743	587	2569
744	587	2568
745	588	2566
746	589	2564
747	589	2563
748	590	2561
749	590	2560
750	591	2558
751	592	2557
752	592	2556
753	593	2555
754	594	2554
755	594	2552
756	595	2551
757	596	2550
758	597	2549
759	597	2548
760	598	2546
761	599	2545
762	599	2543
763	600	2542
764	600	2541
765	601	2539
766	602	2538
767	602	2537
768	603	2535
769	604	2534
770	604	2532
771	605	2532
772	606	2530
773	606	2529
774	607	2528
775	608	2526
776	608	2525
777	609	2523
778	610	2522
779	610	2521
780	611	2519
781	611	2518
782	612	2516
783	613	2515
784	613	2513
785	614	2512
786	615	2511
787	615	2510
788	616	2508
789	617	2507
790	617	2506
791	618	2505
792	619	2503
793	619	2502
794	620	2501
795	621	2500
796	621	2498
797	622	2497
798	623	2496
799	623	2494
800	624	2493
801	625	2492
802	625	2491
803	626	2489
804	627	2488
805	627	2487
806	628	2486
807	629	2484
808	629	2484
809	630	2484
810	632	2486
811	633	2485
812	633	2484
813	634	2483
814	635	2484
815	636	2483
816	636	2481
817	637	2480
818	638	2479
819	639	2478
820	639	2477
821	640	2476
822	641	2475
823	641	2474
824	642	2473
825	643	2471
826	643	2470
827	644	2469
828	645	2467
829	645	2467
830	646	2466
831	647	2466
832	648	2464
833	649	2463
834	649	2462
835	650	2461
836	650	2460
837	651	2458
838	652	2457
839	652	2456
840	653	2455
841	654	2454
842	654	2452
843	655	2451
844	656	2450
845	657	2449
846	657	2448
847	658	2446
848	658	2445
849	659	2444
850	660	2442
851	660	2441
852	661	2441
853	662	2440
854	663	2438
855	663	2437
856	664	2436
857	664	2434
858	665	2433
859	666	2432
860	666	2430
861	667	2429
862	668	2428
863	668	2427
864	669	2425
865	669	2424
866	671	2425
867	671	2424
868	672	2423
869	673	2422
870	673	2420
871	674	2419
872	675	2418
873	675	2417
874	676	2416
875	677	2415
876	678	2415
877	678	2414
878	679	2412
879	680	2411
880	680	2410
881	681	2409
882	682	2408
883	683	2408
884	683	2407
885	684	2406
886	685	2404
887	685	2403
888	686	2402
889	687	2401
890	687	2400
891	688	2399
892	689	2398
893	690	2397
894	691	2398
895	692	2397
896	692	2396
897	694	2397
898	694	2396
899	695	2395
900	696	2394
901	696	2393
902	697	2391
903	698	2390
904	698	2389
905	699	2388
906	699	2387
907	700	2385
908	701	2384
909	701	2383
910	702	2381
911	703	2380
912	703	2379
913	704	2378
914	704	2376
915	705	2375
916	706	2374
917	706	2372
918	707	2371
919	708	2370
920	708	2369
921	709	2367
922	709	2366
923	710	2364
924	710	2363
925	711	2362
926	712	2361
927	712	2360
928	713	2358
929	714	2358
930	715	2357
931	715	2355
932	716	2354
933	716	2353
934	717	2352
935	718	2351
936	718	2349
937	719	2348
938	720	2347
939	720	2346
940	721	2345
941	722	2344
942	722	2343
943	723	2342
944	724	2341
945	724	2340
946	725	2339
